CLUSTER_REP,SUBCLUSTER_REP,SUBCLUSTER_MEMBERS
3osjB,3osjA,"['3osjD', '3osjB']"
3mk7A,5djqG,"['5djqA', '3mk7G', '5djqK', '3mk7K', '5djqD', '3mk7A', '3mk7D']"
5jo4A,5jo4A,"['5jqdD', '5jqdC']"
5yisC,5yisC,"[]"
5d7bA,5d6oB,"['5d7bA', '5d6oD', '5d7bB', '5d6oC', '5d6oA']"
1eggB,1eggB,"['1egiB']"
5mj6A,4p8qA,"['4pj6B', '5mj6A', '5c97A', '5c97B', '4pj6A', '4z7iB', '4p8qB', '5mj6B', '4z7iA']"
1na5A,4m76B,"['4xw2A', '1n9zA', '1bhq1', '1idn1', '3qa3I', '3q3gI', '3qa3G', '3qa3L', '1mf7A', '1jlmA', '1m1uA', '3qa3E', '3q3gE', '1bho2', '1idn2', '3q3gL', '1idoA', '1na5A', '1bhq2', '3q3gG', '1bho1']"
5lbpA,5l9qB,"['5lccA', '5l9kB', '5l9qA', '5fudB', '5lbpA', '5lccB', '5l9kA', '5fudA']"
1ptmA,1ps7C,"['1ps6A', '1ps6B', '1ptmB', '1ps7A', '1ps7D', '1ps7B', '1ptmA']"
1i96Q,1i97Q,"['1i95Q', '1i96Q', '1i94Q']"
1pguB,1pi6A,"['1pguB', '1pguA']"
1e5pA,1e5pC,"['1e5pD', '1e5pA', '1e5pB']"
4cmzB,4cmzA,"['4cmzB', '4cmzC']"
5j4uA,5j5nB,"['5j5nA', '5j4uA']"
2rd5B,2rd5A,"['2rd5B']"
6a0zH,6a0xE,"['6a0xA', '6a0xC', '6a0zH', '6a0xG']"
3ak1B,3ak3D,"['3ak1D', '3ak2B', '3ak2A', '3ak3A', '3ak1A', '3ak1B', '3ak1C', '3ak2D', '3ak3C', '3ak3B', '3ak2C']"
1ft5A,1ft6A,"['1ft5A', '1bvbA']"
6kk9B,6kk9C,"['6kk9B', '6kk9D']"
6azcA,6azcA,"['6azbA', '6azcB', '6azbB']"
5m7qA,5m7qA,"[]"
6m4uE,6i1sB,"['1qpfA', '1d7jA', '1tcoC', '6m4uE', '3fapA', '6oqaF', '1fkbA', '1d6oB', '6oqaE', '4fapA', '1bl4B', '1b6cG', '1fklA', '1fkjA', '1fkdA', '2dg4A', '2dg9A', '1nsgA', '1qpfD', '3mdyB', '2ppnA', '2fapA', '1a7xA', '1j4rA', '1d7iA', '1fapA', '4dh0A', '1eymB', '2pppA', '1bl4A', '4ipxA', '2fkeA', '1eymA', '1bkfA', '6m4uA', '1b6cA', '1b6cE', '1qplA', '1j4iA', '3mdyD', '1j4rD', '3h9rB', '2dg3A', '6oqaA', '1d7iB', '4n19A', '1fkkA', '1fkiB', '1d6oA', '1d7hB', '1qplC', '1a7xB', '2ppoA', '1d7jB', '1j4rB', '1b6cC', '1fkhA', '1fkfA', '1fkgA', '1j4hA', '6oqaB', '1fkiA', '1d7hA']"
1iaiM,1aifL,"['1iaiM', '5d8jL', '1aifA']"
6ck9D,6w03D,"['6mu8D', '6mugD', '6ck9D', '6mu6D', '6vziD', '6mufD', '6mtnD', '6mu7D', '6mtjD']"
3rjlB,3rjlF,"['3rjlG', '3rjlD', '3rjlA', '3rjlE', '3rjlH', '3rjlB', '3rjlC']"
1iw1A,4gphC,"['1wnxB', '1wnwA', '1wnxA', '1iw1C', '1v8xC', '1wzfA', '1wzfB', '1wzdA', '1wnvA', '3i8rC', '1wzdB', '1wzgA', '3i8rA', '1v8xA', '4gpcA', '4gpcB', '1iw0C', '3mooB', '1wnvB', '4gohA', '3mooA', '1iw1A', '4gphB', '4gpfC', '4gpcC', '2z68A', '4gphA', '1iw1B', '3i8rB', '1iw0B', '4gpfA', '1wzgB', '1wnwC', '1wnwB', '4gpfB', '2z68B', '1wnvC', '1iw0A', '1v8xB']"
4aqhB,6gwnA,"['1b3kA', '3pb1I', '1db2A', '6i8sD', '1a7cA', '3q03B', '1b3kC', '6i8sB', '4ic0A', '4g8rB', '3r4lA', '4g8oB', '3cvmA', '5zlzI', '6i8sA', '1dvmD', '1b3kD', '3q02A', '4ic0B', '1dvmB', '3ut3B', '1dvmC', '1dvmA', '4ic0D', '6gwqA', '3eoxA', '5brrI', '4ic0C', '4g8oD', '3ut3D', '4g8oA', '3cvmB', '9paiA', '6gwpA', '4g8oC', '3q02B', '1b3kB', '4g8rA', '1db2B', '3ut3C', '3q03A', '3ut3A', '1oc0A', '6i8sC']"
4aqhB,1c5gA,"['1dvnA', '4aqhC', '4aqhB', '1lj5A', '4aqhA']"
3d4oB,3d4oD,"['3d4oA', '3d4oB', '3d4oC']"
3eshA,3eshA,"['3eshC', '3eshB']"
2hnuA,2hnwC,"['2hnuC', '2hnvE', '2hnvB', '2hnvD', '2hnvA', '2hnuD', '2hnwE', '2hnuE', '2hnvC', '2hnwA', '2hnwD', '2hnuA', '2hnwB', '2hnuB']"
6vr4A,6vr4A,"['6vr4B']"
3v1rA,3v1rA,"['3v1oA']"
2eh7L,2eh8L,"['4dtgL', '2eh7L', '6obdL', '6obdA']"
3hnjA,3hnjC,"['3hnjB', '3hnjD', '3hnjA']"
6ijfC,6ijfC,"['6ijfD']"
5mzfB,5mzfD,"[]"
5mzfB,5mzfB,"[]"
4cg4A,4cg4E,"['4cg4F', '4cg4C']"
4cg4A,4cg4A,"['4cg4D', '4cg4B']"
4iltC,4iltA,"['4iltC', '4iltD', '4iltB']"
3ndnA,3ndnB,"['3ndnA', '3ndnC', '3ndnD']"
2q8pA,2q8pA,"['2q8qA']"
3pgwH,3pgwH,"['3pgwE']"
3kqfA,3kqfB,"['3kqfD', '3kqfE', '3kqfF', '3kqfA', '3kqfC']"
6fvsB,6fvqC,"['6fliA', '6fvrB', '6fvsB', '6fvqE', '6fvsC', '6fliC', '6fvqB', '6fvrC', '6fvsA', '6fl9C', '6fvrD', '6fl9D', '6fvqD', '6fl9B', '6fl9E', '6fl9A', '6fvsE', '6fvqA', '6fliB', '6fvrA', '6fvsD', '6fvrE', '6fliD', '6fliE']"
4kppA,4kppA,"['4kppB']"
5y3mA,5y3mA,"['5y3mB']"
1iilG,1ii4F,"['1iilG', '1ii4G', '1ii4E', '1djsA', '1ii4H', '1iilF', '1iilH', '1ev2G', '1iilE', '1ev2H']"
2xykB,2xykA,"['2xykB']"
6k68J,6k68C,"['6k68A', '6k68J', '6k68F']"
6jj8C,5zqtB,"['5zqtC', '6jj7C', '6jj9A', '6jj4A', '6jj8C', '6jj8B', '6jj9C', '6jj7A', '5zqtA', '6jj7E', '6jj9E', '6jj8A']"
4kxjA,4lmcA,"['4j3kA', '4lm9A', '4lmtA', '4kxjA', '4lm7A', '4li4A']"
3nswA,3nswB,"['3nswC', '3nswE', '3nswD', '3nswF', '3nswA']"
2fxdA,2fxdB,"['2fxdA']"
2g88A,2zrhA,"['2zroA', '2zr0A', '2zrnA', '2oesA', '2oe2A', '2ofoA', '2zrcA', '2zriA', '1ubgA', '2zrkA', '2g88A', '2zrdA', '2zreA', '2oepA', '2zrmA']"
2ik0B,2ik2A,"['1m38B', '1wgjA', '2ik2B', '1wgiB', '1wgiA', '2ik4A', '2ik6A', '1e6aB', '1yppB', '1hujA', '2ik9A', '1yppA', '1m38A', '1pypA', '2ihpA', '1pypB', '1hukA', '1hujB', '117eA', '2ik0A', '2ik7B', '2ik1A', '2ik4B', '2ik1B', '2ik0B', '1wgjB', '2ik6B', '2ihpB', '117eB', '1e9gA', '1hukB', '2ik7A', '8prkB', '8prkA', '1e9gB', '2ik9B', '1e6aA']"
3fwnA,3fwnA,"['2zygA', '2zydA', '2zyaB', '3fwnB', '2zygB', '2zyaA', '2zydB']"
5l83A,5l83B,"['5l83A']"
4k6uB,4k6uC,"['3qndB', '4xqaC', '4xqaA', '3qndA', '4k6wA', '3qndF', '1uxbC', '2wguA', '1uxaA', '4k6tF', '1uxbA', '4k6wC', '3n0iB', '2j12A', '2wgtA', '4xqbA', '2wbwA', '3n0iC', '4xqbB', '4k6tB', '4k6tA', '4xqaB', '2wgtB', '1uxaC', '4k6tG', '1uxeA', '4k6tE', '4k6uA', '2wguC', '4xqbC', '3qndG', '1uxeC', '4k6vC', '3n0iA', '4k6uB', '2wguB', '4k6vB', '2wgtC', '1uxeB', '4k6tC', '3qndE', '4k6vA', '3qndC', '1uxbB', '4k6wB', '1uxaB']"
2r5gA,2r4vA,"['2r5gA']"
4qnnA,4qnnD,"['4qnnB', '4qnnC', '4qnnA']"
1htrB,1avfA,"['1avfJ', '1htrB']"
5zktB,5zktA,"['5zktB']"
3dl0A,3dl0B,"['3dl0A']"
4zz7A,4zz7I,"['4zz7E', '4zz7G', '4zz7B', '4zz7A', '4zz7H', '4zz7D', '4zz7C', '4zz7J', '4zz7F', '4zz7K', '4zz7L']"
1lvmA,1lvmA,"['1lvmB', '1q31B', '1q31A']"
3gg2A,3gg2D,"['3gg2B', '3gg2A', '3gg2C']"
6tc6A,6tc6C,"['6tc6A']"
4qvhA,4qvhA,"['4qvhB']"
3tquA,3tquC,"['3tquB', '3tquD', '3tquA']"
5tptA,5tptA,"['5tptB']"
2p18A,2p18A,"[]"
2g2qB,2g2qB,"['2g2qA']"
2x3eA,2x3eB,"['2x3eA']"
4a6dA,4a6dA,"['4a6eA']"
3h1sB,3h1sB,"['3h1sA']"
4ffpA,4ffpA,"['4ffmA', '4ffnA', '4fflA', '4ffoA', '4ffrA']"
1hfzD,1hfzD,"['2g4nB', '2g4nA', '1f6sF', '1fkvA', '1fkqA', '1hmkA', '1f6rF', '1hfzC', '1f6rC', '3b0kB', '2g4nC', '1hfyB', '1f6sD', '1hfyA', '1f6sC', '6ip9A', '1f6rB', '1f6sE', '1f6rD', '2g4nD', '1f6rE', '1f6sA', '1f6sB', '1hfzB', '1f6rA', '1hfzA', '2g4nF', '3b0kA', '2g4nE']"
6gunD,6gunB,"['6gunC', '6gunA', '6gunD']"
5dz8A,5dz8A,"['5dz8B']"
6naxA,6naxB,"['6naxA']"
4iarA,4iarA,"[]"
4iarA,4iaqA,"[]"
1ayn1,1c8m1,"['1qjx1', '1qjy1', '1ayn1', '1ncrA', '1aym1', '1nd3A', '1nd2A', '1qju1']"
1eq7A,1eq7A,"['1kfnA']"
5i9qA,5i9qA,"['5fecG', '5igxG', '5fa2A', '5fecI', '5fecD', '5fecC', '5fa2B', '6mftC', '5i9qG', '6mftG', '6p8mC']"
4aeiA,4aeiC,"['1ptxA', '1ahoA', '4aeiB', '4aeiA']"
4o00B,4o00B,"['4o00A']"
3rsjA,3rsjD,"['3rsjB', '3rsjA', '3rsjC', '3fuqA']"
2amyA,2amyA,"['2q4rA']"
6oq8A,2bvlA,"['5uqtA', '5uqtB', '6oq8B', '2bvmA', '6oq8A', '5uqmA', '5vqmA', '5uqnA', '5vqmB']"
1j0pA,2ewuA,"['2yyxA', '1j0pA', '2ewkA', '1wr5A', '2z47B', '2z47A', '2ewiA', '2yywA', '1j0oA', '2ffnA', '2cdvA', '2yxcA']"
5fmtA,5fmtB,"['5fmtA']"
6igoC,6igoC,"[]"
1pnfA,3pmsA,"['1pgsA', '1pnfA', '1pngA']"
2j0eA,3e7fA,"['2j0eA', '3eb9A', '3e7fB', '2j0eB', '3eb9B']"
5q0oC,3ommA,"['5q0qC', '5q0nC', '5y1jA', '3l1bA', '5q0iA', '3olfC', '5q1dA', '5q0nA', '6a5wA', '6a60A', '3hc5A', '5q1cA', '3hc6A', '5yxlC', '3olfA', '3oofA', '5q0oC', '3bejB', '5q0vA', '5q0kA', '5q14A', '6hl0A', '5q0sA', '5q17A', '5q1cC', '5q13A', '3okiA', '5q15A', '5q0mA', '5z12D', '6hl1A', '5q0qA', '5q0jA', '5q1hG', '5q1aC', '5yxlA', '5q1aA', '5q11A', '6itmC', '5wzxB', '5q0vC', '5q16C', '5ickB', '5q1fC', '3omkC', '5q18C', '5q0pC', '5yxjB', '5q0xA', '5q1eA', '4wvdA', '5ickA', '5q19C', '3ookC', '5q0wA', '5q0lA', '3oofC', '3okhA', '5y44A', '3fliA', '4qe8B', '5y49B', '5q19A', '3omkA', '5q0uC', '5q1gA', '5q14C', '4wvdB', '5q1fA', '5z12A', '3dctA', '5q1hA', '3p89A', '5q1bA', '5yxjA', '5yxdA', '5q15C', '5q0yA', '5q0zA', '5q0uA', '6itmA', '3p88A', '5q0sC', '5q13C', '3bejA', '5q16A', '5iawA', '6a5wC', '3rvfA', '3rutA', '5q18A', '4qe8A', '3fxvA', '5yxbA', '5q0tA', '3dcuA', '6a5zH', '5q0jC', '5q0lC', '5q1iA', '3ruuA', '3okiC', '5y49A', '6a5xA', '5q0rA', '5q1dC', '5q0zC', '3gd2A', '5q0oA', '6a5yA', '6a5zA', '5q1bC', '5q1hE', '5q1hC', '5q0pA', '5q10A', '1oshA', '5q0yC', '5q12A', '5wzxA', '5iawB', '4qe6A', '3ommC', '3ookA']"
5q0oC,4oivA,"['4oivB']"
5lcxA,5l4sA,"['5ldgA', '5lcxA']"
4dheA,4dheA,"[]"
2v70A,2v70A,"['2v70C', '2v70B', '2v70D']"
3uvfA,3uvfA,"['3uvfB']"
6albA,6albA,"[]"
4uupA,4uupA,"['4uupB']"
1fseB,1fseB,"['1fseC', '1fseA']"
1h2eA,1h2fA,"['1ebbA', '1h2eA']"
6uceL,5i8hF,"['6uceL', '5i8hH', '6me1D', '6ucfL', '5i8eB', '6me1B', '5i8cB', '5i8eD']"
2wtrB,1g4mA,"['1g4mB']"
5w3xD,5w3xD,"[]"
3bjeA,3bjeB,"['3bjeA']"
1t90A,1t90A,"['1t90B', '1t90C', '1t90D']"
4dwnA,4fh0B,"['4fh0A', '4dwnA', '4dwnB']"
1h9tA,1hw1B,"['1h9gA', '1e2xA', '1hw1A', '1hw2A', '1hw2B', '1h9tA', '1h9tB']"
5dvxA,6fe2B,"['5fl4D', '6qn5C', '6qn6A', '5fl6D', '6g98D', '6y74A', '5dvxA', '5fl6B', '6g9uC', '3iaiB', '6qutC', '6qutB', '6qn5B', '6g9uB', '6qn2A', '6rqnA', '5fl4C', '6qn2C', '6qn5D', '6g98B', '5fl5C', '6fe0C', '5fl6C', '6qn2B', '5fl4A', '6fe2A', '5fl5A', '5fl6A', '6fe2D', '6qn6D', '3iaiD', '6g9uD', '5fl5B', '5fl4B', '6y74B', '6fe1A', '6fe1C', '6fe1D', '6fe0B', '6qn6B', '6qn2D', '6rqqC', '6qn6C', '5dvxB', '6fe2C', '6g9uA', '6fe0D', '6rqwA', '6fe0A', '6fe1B', '6g98C', '6rqqA', '6qn5A', '6qutA', '3iaiA', '6g98A', '3iaiC', '6rquA', '6qutD', '5fl5D']"
2p5rA,2p5qD,"['2p5qB', '2p5qC', '2p5qA']"
2p5rA,2p5rA,"['2p5rB']"
2qgxB,2qgxC,"['2qgxA', '2qgxB', '2qgxD']"
4maeA,6fkwC,"['4maeA', '4maeB', '6fkwA', '6fkwD', '6fkwB']"
3rfzB,3rfzE,"['4j3oD', '3rfzB']"
4l1eB,1ha7V,"['1gh0F', '1ha7L', '4l1eH', '4l1eD', '1ha7H', '1ha7P', '1ha7B', '1gh0H', '1gh0P', '1ha7R', '1gh0N', '2uumV', '2uumB', '2uumH', '1ha7F', '2uumN', '1ha7D', '1gh0L', '4l1eL', '2uumX', '2uumR', '1gh0D', '1gh0T', '1ha7N', '1gh0R', '2uumP', '1gh0X', '2uumF', '2uumL', '1gh0B', '4l1eB', '1gh0J', '1ha7T', '4l1eF', '1gh0V', '2uumJ', '1ha7X', '4l1eJ', '2uumT', '1ha7J', '2uumD']"
6gqoA,3cpbA,"['3wzeA', '2p2iA', '6xvkA', '3eflA', '3vntA', '3ewhA', '3vo3A', '3c7qA', '3cjgA', '3cp9A', '4ag8A', '6xvjA', '2p2hA', '2rl5A', '6gqoA', '3be2A', '6gqpA', '2oh4A', '3dtwA', '3b8qA', '2qu6A', '3cpcA', '3u6jA', '3b8rA', '3cjfA', '6gqqA', '2qu5A']"
4eg2A,4eg2B,"['4eg2D', '4eg2E', '4eg2G', '4eg2C', '4eg2H', '4eg2A', '4eg2F']"
4nm4L,4nm4L,"['4nm8M', '4nm8N', '4nm8L', '4nm4M']"
3bynA,3byjA,"['1pt2A', '3bylA', '1oygA', '3bykA', '2vdtA', '3bynA']"
3s7xA,3s7xB,"['3s7xC', '3s7xA', '3s7xE', '3s7xD']"
6udgA,6udgD,"['6udgA', '6udgB', '6udgC']"
2eufA,2f2cA,"['4tthA', '1bu2A', '2eufA', '1jowA', '1xo2A']"
1hm7B,1ps1B,"['1hm7B', '1ps1A']"
4pdaA,4pd9A,"['4pd7A', '4pdaA', '4pd8A', '4pb2A', '3tijA', '4pd5A', '4pd6A', '4pb1A']"
3ca8A,3ca8B,"['3ca8A']"
3etpA,1nukA,"['1shwB', '3etpA', '1kgyD', '1kgyC', '1kgyA', '1kgyB']"
1colA,1colA,"['1colB']"
1kyoE,1kyoE,"['1kb9E', '3cxhE', '4pd4E', '3cx5P', '1ezvE', '3cx5E', '3cxhP', '1p84E', '1kyoP', '2ibzE']"
4qlbF,4qlbG,"['4qlbE', '4qlbF', '4qlbH']"
2q2iA,2q2iA,"['2q2iB']"
6mtgB,6mtgB,"['6mtgA']"
5hi8A,5hi8A,"['5hi8B']"
5v2dA,5v2dC,"['5v2dB', '5v2dA', '5v2dD']"
6yv8A,6yv8A,"['6yv7B']"
5n81A,5n82A,"['5n81A', '5n81B']"
1nnqA,3qvdB,"['3qvdH', '3pzaA', '3qvdA', '1nnqB', '3qvdF', '3mpsG', '3pzaB', '3mpsA', '3mpsD', '3qvdC', '2hr5B', '1nnqA', '3mpsH', '3qvdE', '3qvdG', '3qvdD', '2hr5A', '3mpsB', '3pwfB', '3mpsF', '3mpsK', '3pwfA', '3mpsI']"
1l9gA,1l9gA,"['1vk2A']"
2zktB,2zktB,"[]"
1tjuB,1dcnA,"['1xwoD', '1tjuC', '1u16A', '1xwoC', '1u15D', '1hy1B', '1k7wA', '1auwA', '1tjvA', '1dcnC', '1hy0A', '1tjuD', '1hy0B', '1tjvB', '1hy1D', '1tjwC', '1k7wB', '1hy1A', '1xwoA', '1dcnD', '1k7wD', '1u15A', '1auwB', '1xwoB', '1tjwD', '1tjvC', '1u15B', '1tjuA', '1hy1C', '1auwD', '1auwC', '1tjwA', '1k7wC', '1u15C', '1dcnB', '1tjwB', '1tjuB', '1tjvD']"
4q9bA,4q9bA,"[]"
5kl4A,5kl2A,"['5kl3A', '5kl7A', '4r2rA', '5kl5A', '5kl4A', '5kl4D', '4r2pA', '4r2eA', '5kl6A', '4r2qA', '4r2sA']"
4krcA,2pk9A,"['4krdA', '4krcA']"
2ak2A,1ak2A,"['2ak2A']"
3wy9A,3wyaA,"['3wy9A', '3wy9B']"
6smkA,6smkE,"['6smkA', '6smkD']"
1fywA,1o77D,"['1fyxA', '1o77A', '1o77C', '1o77E', '1fywA']"
3kzhA,3kzhA,"['3kzhB']"
1vs0B,6nhxA,"['6nhzA']"
1vs0B,1vs0A,"['1vs0B']"
4ydpA,4ydpA,"['4ydpB']"
2y5nB,2y98A,"['2y46C', '3zsnC', '2y46B', '2y5nA', '2y5zC', '2y46A', '2ygxA', '3zsnB', '2ycaA', '2y5nB', '2ygxD', '2y5zB', '4aw3B', '2y5zA', '4aw3A', '2ygxB', '3zsnA', '2ygxC']"
4kyrA,4kyqA,"['4kyrA']"
5supA,5supA,"['5supB', '5supC']"
2c6xA,2c6xB,"['2c6xA', '2c6xD', '2c6xC']"
5ydeA,5ydfA,"['5ydeA', '5ydfB']"
4zt0A,6k4uB,"['6ai6A', '6aebF', '4un3B', '6k3zB', '4un5B', '6aebB', '5b2rB', '6k4sB', '6aegB', '6k4qB', '5b2sB', '4oo8A', '5fw3B', '6k57B', '5fq5B', '5b2tB', '6k4pB', '4un4B', '5fw2B']"
4zt0A,5xblA,"['4zt0A', '4zt0C', '6ifoB', '5vw1A', '6ifoA', '4zt9A']"
4zt0A,5f9rB,"[]"
3n27B,3n27B,"['3n27A']"
1ekjG,1ekjF,"['1ekjE', '1ekjG', '1ekjC', '1ekjD', '1ekjA', '1ekjH', '1ekjB']"
4py8I,4py8I,"['4py7I', '4py7A']"
4h0oB,4h0oA,"['4h0oB']"
3qnqD,3qnqA,"['3qnqD', '3qnqC', '3qnqB']"
1bwuQ,1bwuD,"['1bwuQ', '1kj1Q', '1kj1D']"
5yktA,5yktB,"['5yktA', '5ykrB', '5ykrA']"
5jw5H,5jw4S,"['5jw4O', '5jw3H', '5jw4M', '5jw5H', '5jw4W', '5jw5A', '5jw4U']"
5ushX,5ushA,"['5uslX', '6b9jY', '5ushX', '5uslA', '6b9jX']"
3tknA,3pbpG,"['3tknA', '3pbpD', '3pbpA', '3tknD', '3tknG', '3pbpJ']"
4eb6B,3e22B,"['6br1B', '5bmvD', '4iijB', '5mf4B', '4x20B', '5jvdB', '6mzeY', '5lxsD', '4yj2D', '3du7B', '5nm5B', '6s8kB', '6kppD', '3ut5D', '5kx5D', '6gj4B', '3hkcD', '5z4uB', '4i55D', '6qtnB', '5ng1D', '5nfzD', '5fnvD', '5yljB', '5c8yD', '5m8dB', '6bs2B', '4tuyD', '6nngB', '6jcjB', '5ca0B', '5ca1B', '6agkD', '5jh7D', '6bbnD', '5m7gB', '3hkbB', '5nquB', '4o4iD', '4o4iB', '3ryhB', '5h7oB', '6brfD', '1sa1D', '6mzgD', '6bs2D', '6mzeI', '5xi7B', '6fkjB', '4f61H', '5xi5D', '6hx8B', '6brfB', '6gwcB', '6mzfD', '5m7gD', '5jvdD', '6bryD', '4tv9D', '7jfrB', '6s9eB', '4yj3D', '5lxtD', '4f61F', '3rycD', '5iyzB', '5xafD', '4x20D', '4yj2B', '6mzgH', '6i5cD', '4eb6D', '1z2bB', '4o4hB', '3n2kB', '3hkdD', '6fiiD', '5fnvB', '5nqtB', '5m8gD', '6gzeB', '6sesB', '5lovB', '6y6dD', '4i50D', '3n2gB', '6hx8D', '6gzeD', '5njhD', '5z4pD', '6bryB', '5jh7B', '5xi5B', '4zhqD', '5h7oD', '5ov7B', '4o2bB', '5zxhD', '5jcbB', '5xkgD', '4o2aD', '3du7D', '6bbnB', '5z4uD', '6mzeP', '6h9bD', '4zhqB', '3n2kD', '6gj4D', '3ryiD', '5j2uD', '6i5cB', '5h74B', '5xiwD', '5xagB', '4i4tD', '5lovD', '4o4lB', '6qqnD', '5oskD', '4o4jD', '5jqgB', '6tdeB', '5mioB', '5xkgB', '5mf4D', '5ov7D', '4tuyB', '5xkfD', '4ihjD', '5xhcB', '5j2tB', '5xkhD', '5ca1D', '6mzfR', '6fjmB', '6d88D', '4o2aB', '6gx7B', '4i4tB', '5yz3B', '6y6dB', '6fiiB', '1ffxB', '6mzfI', '5cb4B', '5xagD', '6o5mB', '4zolD', '6o61D', '5la6D', '6n47B', '4f6rB', '5ng1B', '4zi7D', '3n2gD', '6k9vD', '3hkbD', '6eg5B', '1z2bD', '4ihjB', '6s9eD', '5yz3D', '5yl2D', '6gf3B', '6o5nD', '6sesD', '5lxtB', '5oskB', '5gonD', '6pc4D', '5lyjB', '5cb4D', '6f7cB', '6gvmB', '3hkcB', '1sa0D', '5nfzB', '6mzgJ', '5ca0D', '4x1iB', '4f61D', '6gvnB', '6mzeW', '6knzB', '6fjmD', '6mzfK', '6jcjD', '6gwdD', '6agkB', '4i50B', '5xafB', '3ryfB', '5z4pB', '5c8yB', '5zxhB', '5xp3D', '4eb6B', '5lyjD', '5ylsD', '5iyzD', '6fklB', '6kppB', '6mzeB', '5xiwB', '4zolB', '5o7aD', '7jfrD', '5lp6B', '6o5nB', '6fjfD', '6mzfP', '4x1yB', '5j2uB', '4hnaB', '4x1kD', '5xkeD', '5jqgD', '3hkeB', '6gwdF', '6gf3D', '4tv8B', '5xp3B', '6mzfB', '1sa1B', '1sa0B', '6br1D', '4x1yD', '5yl2B', '5bmvB', '6mzeK', '6o61B', '6gx7D', '4o2bD', '5ezyD', '6f7cD', '5gonB', '6qqnB', '6eg5D', '5yl4B', '1ffxD', '4o4jB', '6mzgB', '6k9vB', '3e22D', '4zi7B', '5yl4D', '5xi7D', '5ylsB', '5eibD', '5eypB', '5h74D', '5lp6D', '6gwdB', '6d88B', '5m7eB', '5xkhB', '5ezyB', '4f61B', '5o7aB', '4o4hD', '4tv9B', '3hkeD', '5njhB', '5m7eD', '6mzfY', '5yljD', '5xkeB', '5xhcD', '5xltD', '5xkfB', '3rycB', '6pc4B', '3hkdB', '6knzD', '5kx5B', '5m8dD', '6nngD', '3ryhD', '3ut5B', '4drxB', '4lnuB', '4x1kB', '4iijD', '4x1iD', '6tdeD', '5xlzB', '5xlzD', '6fjfB', '6qtnD', '5j2tD', '6fkjD', '5la6B', '4o4lD', '6fklD', '6n47D', '6o5mD', '4i55B', '5lxsB', '6mzeD', '5m8gB', '4drxD', '6mzfW', '3ryiB', '4tv8D', '4yj3B', '6h9bB', '6mzeR', '3ryfD', '5xltB']"
1okhA,1okhB,"['1okhA']"
3dgcS,6df3L,"['3dgcS', '3dlqR', '3dgcR']"
4yplC,4yplA,"['4yplE', '4yplC']"
4yplC,4yplF,"['4yplD', '4yplB']"
1rfjA,1qs7A,"['1qs7C', '4aqrA', '1qtxA', '1vrkA', '4aqrB']"
1rfjA,5a2hA,"['1rfjA']"
4zxpB,5ikeA,"['5ektA', '4zxpA', '5zk0B', '5zk0A', '5b6jA', '4zxpB', '5ivpB', '5gvzA', '4z86B', '4z86A', '5imbB', '5ivpA', '5ektB', '5ikeB', '5b6jB', '5imbA']"
3dufB,1w88H,"['3dv0F', '3dvaD', '1w88B', '1w88D', '1w85D', '3dv0B', '1w85B', '3dv0D', '3dufH', '1w85F', '3dufF', '3dvaH', '3dvaB', '3dufD', '3dufB', '1w85H', '3dvaF', '3dv0H', '1w88F']"
4qwpA,4oltB,"['4qwpA', '4qwpB', '4oltA']"
6hemA,6hemA,"['6h4kA']"
3fkaB,3fkaB,"['3fkaC', '3fkaA', '3fkaD']"
3ztjI,3ztjK,"['3ztjI']"
4j4yC,4j4xE,"['4j4xD', '4j4xA', '4j4xB', '4j4xC', '4j4xF']"
4j4yC,4j4yD,"['4j4yB']"
4j4yC,4j4yC,"['4j4yA']"
1h88B,1h88B,"[]"
1jl7A,1jf3A,"['1jl7A']"
3i4kA,3i4kF,"['3i4kE', '3i4kD', '3i4kB', '3i4kA', '3i4kC', '3i4kH', '3i4kG']"
3gp4A,3gp4A,"[]"
3gp4A,3gp4B,"[]"
3outB,3outA,"['3outC', '3outB']"
4clvA,4clvB,"['4clvA']"
6n4fA,6n4fE,"['6n4fG', '6n4fA', '6n4fC']"
2gx9A,6dgkA,"['2gx9B', '2gx9A', '6dgkB']"
2ozfA,4q3hA,"['2ozfA', '4q3hB']"
6xk2D,6xk2D,"['6cw5A']"
6oaoF,6oaoL,"['6oaoD', '6oaoH', '6oaoF', '6oaoJ', '6oaoB']"
5iboA,5iboA,"['5iboB']"
6sgfB,6sgfD,"['6sgfC', '6sgfE', '6sgfF', '6sgfB', '6sgfA']"
3mn2A,3mn2A,"['3mn2B']"
3anvA,3awoA,"['3anuA', '3awnA', '3anvA']"
4o1sA,4o1sB,"['4o1sA']"
4uj0A,4uj0B,"['4uj0A']"
6s3tC,6rnnL,"['6s3tI', '6s3tM', '6s3tC', '6s3tQ']"
1fllX,1fllX,"['1fllY']"
5ijiA,5jgpA,"['5ijiA', '5jefB', '6yueA']"
5ijiA,5jeqA,"[]"
